time_ind,v_ao,v_art,v_ven,v_la,v_lv,p_lv,q_av,p_ao,p_art,q_ao,p_ven,q_art,p_la,q_ven,q_mv,T
208,110.36099414934355,935.7106386637957,2876.2926011294826,18.953574330071074,16.766874966746226,17.78842521067081,0.0,24.128452851536462,13.768485356482316,0.03196134734031765,0.5395835017704148,0.013630212253858336,0.15094499841718062,0.06747771201566403,0.0,8815.654703152924
209,110.34635169769045,935.7190246214025,2876.26792620007,18.98450575352938,16.766874966746226,17.534260990535103,0.0,24.09435383562639,13.771718620821144,0.03184617420134681,0.5394089870124839,0.01363372341093798,0.15172513877075913,0.06731195915758922,0.0,8816.11366060311
210,110.33176200378384,935.7273562148803,2876.243329226646,19.015360827382743,16.766874966746226,17.278236770712358,0.0,24.060377680783535,13.774930924691512,0.03173144476358055,0.5392350236024441,0.013637212403621361,0.15251317721517751,0.06714493071461823,0.0,8816.572618053295
211,110.31722486437403,935.7356336576324,2876.2188107741204,19.046138976565903,16.766874966746226,17.02046481392332,0.0,24.026523913684514,13.778122350372714,0.031617157312939126,0.5390616155356607,0.01364067931256722,0.15330883851401303,0.06697667516862309,0.0,8817.031575503479
212,110.3027400769868,935.7438571622505,2876.194371388388,19.076839645067658,16.766874966746226,16.761058058818335,0.0,23.992792062811947,13.781292979830774,0.031503310141880965,0.5388887666729988,0.013644124218250103,0.15411185411885414,0.06680723981691107,0.0,8817.490532953665
213,110.28830743991882,935.7520269405181,2876.170011597485,19.107462294770187,16.766874966746226,16.500130055168942,0.0,23.95918165844357,13.784442894720359,0.03138990154936312,0.5387164807490323,0.01364754720095388,0.15492196191884655,0.06663667081713535,0.0,8817.94949040385
214,110.27392675223233,935.7601432034165,2876.145731912754,19.138006404289502,16.766874966746226,16.237794899049103,0.0,23.925692232639943,13.787572176386725,0.03127692984079737,0.5385447613802448,0.013650948340765296,0.1557389059902718,0.06646501323219849,0.0,8818.408447854035
215,110.25959781375072,935.7682061611289,2876.121532829998,19.16847146781417,16.766874966746226,15.974167168031975,0.0,23.892323319234276,13.790680905867552,0.031164393328013146,0.5383736120732412,0.013654327717567393,0.15656243634607808,0.06629231107516616,0.0,8818.86740530422
216,110.24532042507701,935.7762160230225,2876.0974148232604,19.19885700133333,16.766874966746226,15.709362067437155,0.0,23.859074453875344,13.793769163885738,0.031052290329412188,0.5382030361807003,0.01365768541107749,0.15739230988546352,0.06611860713674707,0.0,8819.326362754404
217,110.23109438773069,935.7841729975107,2876.0733783018654,19.229162585586206,16.766874966746226,15.44349662576103,0.0,23.82594517434607,13.79683703079663,0.030940619171114177,0.5380330365976139,0.013661021501105769,0.15822829730846052,0.06594394173200126,0.0,8819.78532020459
218,110.21691950392209,935.7920772922802,2876.0494236804566,19.259387796033206,16.766874966746226,15.176687662287529,0.0,23.79293502003823,13.799884586675217,0.030829378185067147,0.5378636162565648,0.01366433606713482,0.15907017167887924,0.06576835477210251,0.0,8820.244277654774
219,110.20279557660132,935.7999291142413,2876.0255513632246,19.289532218625517,16.766874966746226,14.909052205937577,0.0,23.76004353206657,13.802911911297176,0.030718565709458086,0.5376947780161975,0.013667629188415019,0.15991771092376825,0.06559188531100282,0.0,8820.70323510496
220,110.18872240947891,935.8077286695075,2876.0017617373264,19.319595456379698,16.766874966746226,14.640707651482925,0.0,23.72727025331642,13.805919084131055,0.030608180088883833,0.5375265246147167,0.013670900944004392,0.16077069883952425,0.06541457136267187,0.0,8821.162192555144
